,,,,,,,,,,,,,,,
GA sample ID,Gender,Ethnicity,Ethnicity short name,Region,Region short name,Country,Country of origin,Public,Related to,% Neanderthal ancestry,% Denisovan ancestry,Language group,Social Hierarchy ,mt- haplogroup,Y-haplogroup
GA000009,U,Yadava,YAD,SouthAsia,SAS,India,India,Yes,,2.27328,0.247869,,,,
GA000012,U,Relli,RLL,SouthAsia,SAS,India,India,Yes,,2.2144,0.373224,,,,
GA000013,U,Kapu,KPU,SouthAsia,SAS,India,India,Yes,,2.03951,0.26527,,,,
GA000015,U,Relli,RLL,SouthAsia,SAS,India,India,Yes,,2.15043,0.295099,,,,
GA000016,U,Kapu,KPU,SouthAsia,SAS,India,India,Yes,,2.22477,0.228338,,,,
GA000055,M,Punjabi,PJB,SouthAsia,SAS,Pakistan,Pakistan,Yes,,2.44249,0.179332,,,,
GA000059,F,Punjabi,PJB,SouthAsia,SAS,Pakistan,Pakistan,Yes,,1.97457,0.145597,,,,
GA000061,U,Madiga,MDG,SouthAsia,SAS,India,India,Yes,,2.14789,0.354048,,,,
GA000062,U,Brahmin,BMN,SouthAsia,SAS,India,India,Yes,,1.98318,0.221236,,,,
GA000063,U,Madiga,MDG,SouthAsia,SAS,India,India,Yes,,2.09292,0.323153,,,,
GA000064,U,Brahmin,BMN,SouthAsia,SAS,India,India,Yes,,2.24726,0.239702,,,,
GA000067,U,Mala,MLA,SouthAsia,SAS,India,India,Yes,,2.11483,0.237926,,,,
GA000070,U,KhondaDora,KHD,SouthAsia,SAS,India,India,Yes,,2.26976,0.322088,,,,
GA000071,U,Mala,MLA,SouthAsia,SAS,India,India,Yes,,2.14887,0.278409,,,,
GA000073,U,Irula,IRU,SouthAsia,SAS,India,India,Yes,,2.13811,0.341974,,,,
GA000074,U,Yadava,YAD,SouthAsia,SAS,India,India,Yes,,2.26858,0.231179,,,,
GA000078,U,Irula,IRU,SouthAsia,SAS,India,India,Yes,,2.30067,0.263139,,,,
GA000107,M,Kusunda,KUS,SouthAsia,SAS,Nepal,Nepal,Yes,,2.28717,0.385298,,,,
GA000116,M,Kusunda,KUS,SouthAsia,SAS,Nepal,Nepal,Yes,,2.17625,0.290128,,,,
GA000142,F,BEB,BEB,SouthAsia,SAS,Bangladesh,Bangladesh,Yes,,2.3707,0.344105,,,,
GA000149,M,BEB,BEB,SouthAsia,SAS,Bangladesh,Bangladesh,Yes,,2.32062,0.194957,,,,
GA000162,F,PJL,PJB,SouthAsia,SAS,Pakistan,Pakistan,Yes,,1.94366,0.316761,,,,
GA000163,M,PJL,PJB,SouthAsia,SAS,Pakistan,Pakistan,Yes,,2.07336,0.224432,,,,
GA000177,F,Sindhi,SND,SouthAsia,SAS,Pakistan,Pakistan,Yes,,1.89534,0.137429,,,,
GA000178,M,Sindhi,SND,SouthAsia,SAS,Pakistan,Pakistan,Yes,,2.31299,0.128551,,,,
GA000192,F,Kalash,KAL,SouthAsia,SAS,Pakistan,Pakistan,Yes,,2.08255,0.0777699,,,,
GA000193,M,Kalash,KAL,SouthAsia,SAS,Pakistan,Pakistan,Yes,,2.0311,0.0834517,,,,
GA000200,M,Hazara,HAZ,SouthAsia,SAS,Pakistan,Pakistan,Yes,,2.16041,0.176491,,,,
GA000201,M,Hazara,HAZ,SouthAsia,SAS,Pakistan,Pakistan,Yes,,2.16217,0.176136,,,,
GA000210,M,Burusho,BRU,SouthAsia,SAS,Pakistan,Pakistan,Yes,,2.21851,0.100497,,,,
GA000230,M,Balochi,BAL,SouthAsia,SAS,Pakistan,Pakistan,Yes,,1.95168,0.0582386,,,,
GA000246,F,Pathan,PAT,SouthAsia,SAS,Pakistan,Pakistan,Yes,,1.90493,0.116832,,,,
GA000247,M,Pathan,PAT,SouthAsia,SAS,Pakistan,Pakistan,Yes,,2.07179,0.176136,,,,
GA000251,F,Makrani,MKR,SouthAsia,SAS,Pakistan,Pakistan,Yes,,1.67664,0.00816761,,,,
GA000252,M,Makrani,MKR,SouthAsia,SAS,Pakistan,Pakistan,Yes,,2.04186,0.0625,,,,
GA000258,F,Burusho,BRU,SouthAsia,SAS,Pakistan,Pakistan,Yes,,2.23259,0.104759,,,,
GA000259,M,Brahui,BRA,SouthAsia,SAS,Pakistan,Pakistan,Yes,,2.17958,0.0820312,,,,
GA000260,M,Brahui,BRA,SouthAsia,SAS,Pakistan,Pakistan,Yes,,1.92684,0.0308949,,,,
GA000275,M,Balochi,BAL,SouthAsia,SAS,Pakistan,Pakistan,Yes,,1.94484,0.0681818,,,,
GA000291,M,GIH,GIH,SouthAsia,SAS,USA,India,Yes,,2.30125,0.253906,,,,
GA000292,M,ITU,ITU,SouthAsia,SAS,UK,India,Yes,,1.98063,0.303622,,,,
GA000293,M,PJL,PJB,SouthAsia,SAS,Pakistan,Pakistan,Yes,,1.96127,0.154119,,,,
GA000294,F,STU,STU,SouthAsia,SAS,UK,Sri Lanka,Yes,,1.82316,0.365412,,,,
GA000422,F,SouthIndian,SSI,SouthAsia,SAS,India,India,Yes,,2.19718,0.20206,,,,
GA000632,F,Irula,IRU,SouthAsia,SAS,India,India,No,,2.05692,0.302912,,,,
GA000633,M,Irula,IRU,SouthAsia,SAS,India,India,No,,2.09977,0.316051,,,,
GA000634,M,SouthIndian,SZH,SouthAsia,SAS,India,India,No,"Yes (GA000636, GA000641, GA000642)",2.25763,0.211648,,,,
GA000635,M,SouthIndian,SZH,SouthAsia,SAS,India,India,No,"Yes (GA000637, GA000638, GA000639)",2.08959,0.173295,,,,
GA000636,M,SouthIndian,SZH,SouthAsia,SAS,India,India,No,,2.12813,0.294389,,,,
GA000637,M,SouthIndian,SZH,SouthAsia,SAS,India,India,No,"Yes (GA000635, GA000638, GA000639)",2.00646,0.141335,,,,
GA000638,M,SouthIndian,SZH,SouthAsia,SAS,India,India,No,"Yes (GA000635, GA000637, GA000639)",2.05595,0.12571,,,,
GA000639,M,SouthIndian,SZH,SouthAsia,SAS,India,India,No,,1.9597,0.132457,,,,
GA000640,F,SouthIndian,SZH,SouthAsia,SAS,India,India,No,,2.25176,0.157315,,,,
GA000641,F,SouthIndian,SZH,SouthAsia,SAS,India,India,No,Yes (GA000636),2.1471,0.356179,,,,
GA000642,F,SouthIndian,SZH,SouthAsia,SAS,India,India,No,,2.20481,0.292614,,,,
GA000643,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.30145,0.213423,,,,
GA000644,M,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.08705,0.370384,,,,
GA000645,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.13243,0.349787,,,,
GA000646,M,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.10974,0.156605,,,,
GA000647,M,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.08099,0.156605,,,,
GA000648,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.23298,0.200994,,,,
GA000649,M,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.0939,0.224432,,,,
GA000650,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,1.97829,0.225142,,,,
GA000651,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.0757,0.319957,,,,
GA000652,M,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.09096,0.26456,,,,
GA000653,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.03032,0.224787,,,,
GA000654,M,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.14339,0.257102,,,,
GA000655,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.06944,0.207386,,,,
GA000656,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.33314,0.347301,,,,
GA000657,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.13811,0.298651,,,,
GA000658,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.04812,0.222656,,,,
GA000659,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.22907,0.20206,,,,
GA000660,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,Yes (GA000667),2.3482,0.23331,,,,
GA000661,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.1516,0.223722,,,,
GA000662,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.15473,0.315696,,,,
GA000663,M,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.26682,0.263494,,,,
GA000664,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.16412,0.154474,,,,
GA000665,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.10661,0.291903,,,,
GA000666,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.1207,0.182884,,,,
GA000667,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.08959,0.21733,,,,
GA000668,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.1921,0.245028,,,,
GA000669,M,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.34194,0.335582,,,,
GA000670,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.18623,0.132457,,,,
GA000671,M,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.12911,0.371094,,,,
GA000672,M,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.32844,0.18892,,,,
GA000673,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.00274,0.163352,,,,
GA000674,M,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.09879,0.340909,,,,
GA000675,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.00782,0.240057,,,,
GA000676,M,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.13654,0.243608,,,,
GA000677,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.15786,0.178267,,,,
GA000678,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.41725,0.331676,,,,
GA000679,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.11052,0.180753,,,,
GA000680,F,Indian,SSI,SouthAsia,SAS,Singapore,India,Yes,,2.06123,0.34375,,,,
GA000781,F,Jarwa,JAR,SouthAsia,SAS,India,India,No,,2.4284,0.260653,,,,
GA000782,U,Jarwa,JAR,SouthAsia,SAS,India,India,No,,2.27387,0.376776,,,,
GA000783,F,Jarwa,JAR,SouthAsia,SAS,India,India,No,,2.56749,0.400923,,,,
GA000784,F,Jarwa,JAR,SouthAsia,SAS,India,India,No,,2.45188,0.371449,,,,
GA000785,M,Jarwa,JAR,SouthAsia,SAS,India,India,No,,2.55047,0.372514,,,,
GA000786,F,Jarwa,JAR,SouthAsia,SAS,India,India,No,Yes (GA000802),2.53541,0.42223,,,,
GA000787,M,Jarwa,JAR,SouthAsia,SAS,India,India,No,,2.52895,0.364347,,,,
GA000788,M,Jarwa,JAR,SouthAsia,SAS,India,India,No,,2.47594,0.354403,,,,
GA000789,F,Jarwa,JAR,SouthAsia,SAS,India,India,No,"Yes (GA000806, GA000807)",2.33118,0.388494,,,,
GA000790,M,Jarwa,JAR,SouthAsia,SAS,India,India,No,,2.56279,0.312145,,,,
GA000791,M,Jarwa,JAR,SouthAsia,SAS,India,India,No,,2.46127,0.341974,,,,
GA000792,M,Jarwa,JAR,SouthAsia,SAS,India,India,No,,2.5669,0.398082,,,,
GA000793,F,Onge,ONG,SouthAsia,SAS,India,India,No,,2.34018,0.212713,,,,
GA000794,M,Onge,ONG,SouthAsia,SAS,India,India,No,,2.60172,0.355824,,,,
GA000795,M,Onge,ONG,SouthAsia,SAS,India,India,No,,2.25117,0.31108,,,,
GA000796,F,Onge,ONG,SouthAsia,SAS,India,India,No,"Yes (GA000797, GA000803)",2.38635,0.255327,,,,
GA000797,F,Onge,ONG,SouthAsia,SAS,India,India,No,,2.34487,0.232244,,,,
GA000798,M,Onge,ONG,SouthAsia,SAS,India,India,No,"Yes (GA000799, GA000800)",2.35544,0.273793,,,,
GA000799,F,Onge,ONG,SouthAsia,SAS,India,India,No,"Yes (GA000793, GA000795, GA000798, GA000800)",2.36835,0.288352,,,,
GA000800,F,Onge,ONG,SouthAsia,SAS,India,India,No,,2.4779,0.316051,,,,
GA000801,F,Onge,ONG,SouthAsia,SAS,India,India,No,,2.38165,0.362926,,,,
GA000802,M,Onge,ONG,SouthAsia,SAS,India,India,No,,2.43584,0.397727,,,,
GA000803,F,Onge,ONG,SouthAsia,SAS,India,India,No,,2.52347,0.328835,,,,
GA000804,F,Onge,ONG,SouthAsia,SAS,India,India,No,,2.58666,0.276989,,,,
GA000805,M,Onge,ONG,SouthAsia,SAS,India,India,No,,2.44601,0.324219,,,,
GA000806,F,Onge,ONG,SouthAsia,SAS,India,India,No,"Yes (GA000789, GA000807)",2.40865,0.346946,,,,
GA000807,M,Onge,ONG,SouthAsia,SAS,India,India,No,,2.49902,0.358665,,,,
GA000808,M,Agharia,AGH,SouthAsia,SAS,India,India,No,,2.11444,0.205611,,,,
GA000809,M,Agharia,AGH,SouthAsia,SAS,India,India,No,,2.25254,0.378196,,,,
GA000810,F,Agharia,AGH,SouthAsia,SAS,India,India,No,,2.10329,0.237571,,,,
GA000811,M,Agharia,AGH,SouthAsia,SAS,India,India,No,,2.28697,0.290128,,,,
GA000812,M,Agharia,AGH,SouthAsia,SAS,India,India,No,"Yes (GA000814, GA000815)",2.15826,0.226918,,,,
GA000813,F,Agharia,AGH,SouthAsia,SAS,India,India,No,,2.32629,0.235795,,,,
GA000814,F,Agharia,AGH,SouthAsia,SAS,India,India,No,"Yes (GA000812, GA000815)",2.31416,0.28196,,,,
GA000815,F,Agharia,AGH,SouthAsia,SAS,India,India,No,,2.15356,0.21804,,,,
GA000816,F,Agharia,AGH,SouthAsia,SAS,India,India,No,,2.11835,0.237571,,,,
GA000817,M,Agharia,AGH,SouthAsia,SAS,India,India,No,,1.95794,0.261364,,,,
GA000818,F,Agharia,AGH,SouthAsia,SAS,India,India,No,,2.00685,0.165483,,,,
GA000819,M,Agharia,AGH,SouthAsia,SAS,India,India,No,,1.82277,0.148082,,,,
GA000820,F,Agharia,AGH,SouthAsia,SAS,India,India,No,,1.97085,0.0965909,,,,
GA000821,F,Agharia,AGH,SouthAsia,SAS,India,India,No,,1.86072,0.167969,,,,
GA000822,F,Agharia,AGH,SouthAsia,SAS,India,India,No,,1.67664,0.229759,,,,
GA000823,M,Agharia,AGH,SouthAsia,SAS,India,India,No,,1.9599,0.162642,,,,
GA000824,F,Dhurwa,DHR,SouthAsia,SAS,India,India,No,,2.19484,0.337003,,,,
GA000825,F,Dhurwa,DHR,SouthAsia,SAS,India,India,No,,2.30477,0.370739,,,,
GA000826,F,Dhurwa,DHR,SouthAsia,SAS,India,India,No,,2.4374,0.416548,,,,
GA000827,M,Dhurwa,DHR,SouthAsia,SAS,India,India,No,,2.17645,0.416903,,,,
GA000828,M,Dhurwa,DHR,SouthAsia,SAS,India,India,No,,2.28443,0.474077,,,,
GA000829,F,Dhurwa,DHR,SouthAsia,SAS,India,India,No,,2.35211,0.32777,,,,
GA000830,M,Dhurwa,DHR,SouthAsia,SAS,India,India,No,,2.30438,0.354403,,,,
GA000831,F,Dhurwa,DHR,SouthAsia,SAS,India,India,No,,2.3036,0.354403,,,,
GA000832,M,Dhurwa,DHR,SouthAsia,SAS,India,India,No,,2.36561,0.37571,,,,
GA000833,M,Dhurwa,DHR,SouthAsia,SAS,India,India,No,,2.17919,0.355114,,,,
GA000834,F,Dorla,DOR,SouthAsia,SAS,India,India,No,,2.45951,0.273082,,,,
GA000835,M,Dorla,DOR,SouthAsia,SAS,India,India,No,,2.357,0.36044,,,,
GA000836,M,Dorla,DOR,SouthAsia,SAS,India,India,No,,2.29577,0.308239,,,,
GA000837,M,Dorla,DOR,SouthAsia,SAS,India,India,No,,2.20246,0.370028,,,,
GA000838,M,Dorla,DOR,SouthAsia,SAS,India,India,No,,2.50098,0.511009,,,,
GA000839,M,Dorla,DOR,SouthAsia,SAS,India,India,No,,2.3304,0.333452,,,,
GA000840,M,Dorla,DOR,SouthAsia,SAS,India,India,No,,2.4239,0.398438,,,,
GA000841,F,Dorla,DOR,SouthAsia,SAS,India,India,No,,2.49081,0.3125,,,,
GA000842,F,Dorla,DOR,SouthAsia,SAS,India,India,No,,2.35387,0.417259,,,,
GA000843,M,Dorla,DOR,SouthAsia,SAS,India,India,No,,2.42547,0.425426,,,,
GA000844,M,Dorla,DOR,SouthAsia,SAS,India,India,No,,2.34742,0.26456,,,,
GA000845,M,Dorla,DOR,SouthAsia,SAS,India,India,No,,2.15884,0.354759,,,,
GA000846,M,Muria,MUR,SouthAsia,SAS,India,India,No,,2.23513,0.51669,,,,
GA000847,M,Muria,MUR,SouthAsia,SAS,India,India,No,,2.41138,0.503196,,,,
GA000848,M,Muria,MUR,SouthAsia,SAS,India,India,No,,2.18603,0.363636,,,,
GA000849,M,Muria,MUR,SouthAsia,SAS,India,India,No,,2.44621,0.322443,,,,
GA000850,M,Muria,MUR,SouthAsia,SAS,India,India,No,,2.40728,0.273082,,,,
GA000851,U,Muria,MUR,SouthAsia,SAS,India,India,No,,2.40806,0.29794,,,,
GA000852,M,Muria,MUR,SouthAsia,SAS,India,India,No,,2.39065,0.361151,,,,
GA000853,F,Muria,MUR,SouthAsia,SAS,India,India,No,,2.16315,0.377131,,,,
GA000854,F,Muria,MUR,SouthAsia,SAS,India,India,No,,2.22496,0.308949,,,,
GA000855,F,Muria,MUR,SouthAsia,SAS,India,India,No,,2.39026,0.411222,,,,
GA000856,F,Abujmaria,ABM,SouthAsia,SAS,India,India,No,,2.42879,0.416548,,,,
GA000857,F,Abujmaria,ABM,SouthAsia,SAS,India,India,No,,2.31651,0.375,,,,
GA000858,F,Abujmaria,ABM,SouthAsia,SAS,India,India,No,,2.31808,0.430043,,,,
GA000859,F,Abujmaria,ABM,SouthAsia,SAS,India,India,No,,2.17351,0.514915,,,,
GA000860,F,Abujmaria,ABM,SouthAsia,SAS,India,India,No,,2.23279,0.34304,,,,
GA000861,F,Abujmaria,ABM,SouthAsia,SAS,India,India,No,,2.46303,0.292614,,,,
GA000862,M,Abujmaria,ABM,SouthAsia,SAS,India,India,No,,2.38635,0.54652,,,,
GA000863,M,Abujmaria,ABM,SouthAsia,SAS,India,India,No,,2.45207,0.275213,,,,
GA000864,M,Abujmaria,ABM,SouthAsia,SAS,India,India,No,,2.29401,0.315696,,,,
GA000865,M,Abujmaria,ABM,SouthAsia,SAS,India,India,No,,2.37793,0.459872,,,,
GA000866,F,Abujmaria,ABM,SouthAsia,SAS,India,India,No,,2.13322,0.444247,,,,
GA000867,F,Agharia,AGH,SouthAsia,SAS,India,India,No,,1.84272,0.190696,,,,
GA000870,M,Bagdi,BAG,SouthAsia,SAS,India,India,No,,1.79773,0.387429,,,,
GA000871,F,Bagdi,BAG,SouthAsia,SAS,India,India,No,,1.96948,0.334872,,,,
GA000872,M,Bagdi,BAG,SouthAsia,SAS,India,India,No,,2.16608,0.231889,,,,
GA000873,F,Birhor,BIR,SouthAsia,SAS,India,India,No,,2.37833,0.31321,,,,
GA000874,M,Birhor,BIR,SouthAsia,SAS,India,India,No,Yes (GA000881),2.17625,0.315696,,,,
GA000875,M,Birhor,BIR,SouthAsia,SAS,India,India,No,Yes (GA000884),2.43466,0.334517,,,,
GA000876,M,Birhor,BIR,SouthAsia,SAS,India,India,No,,2.03423,0.380327,,,,
GA000877,U,Birhor,BIR,SouthAsia,SAS,India,India,No,,2.38595,0.387784,,,,
GA000878,F,Birhor,BIR,SouthAsia,SAS,India,India,No,,2.29988,0.372159,,,,
GA000879,F,Birhor,BIR,SouthAsia,SAS,India,India,No,Yes (GA000889),2.41764,0.355114,,,,
GA000880,F,Birhor,BIR,SouthAsia,SAS,India,India,No,,2.20677,0.290838,,,,
GA000881,M,Birhor,BIR,SouthAsia,SAS,India,India,No,,2.30516,0.235085,,,,
GA000882,F,Birhor,BIR,SouthAsia,SAS,India,India,No,,2.25509,0.330256,,,,
GA000883,M,Birhor,BIR,SouthAsia,SAS,India,India,No,"Yes (GA000884, GA000885)",2.21244,0.332386,,,,
GA000884,F,Birhor,BIR,SouthAsia,SAS,India,India,No,,2.30673,0.300426,,,,
GA000885,M,Birhor,BIR,SouthAsia,SAS,India,India,No,,2.23631,0.330966,,,,
GA000886,M,Birhor,BIR,SouthAsia,SAS,India,India,No,Yes (GA000887),2.27739,0.318182,,,,
GA000887,F,Birhor,BIR,SouthAsia,SAS,India,India,No,,2.31514,0.340554,,,,
GA000888,F,Birhor,BIR,SouthAsia,SAS,India,India,No,,2.2545,0.305398,,,,
GA000889,F,Birhor,BIR,SouthAsia,SAS,India,India,No,,2.25978,0.355824,,,,
GA000890,M,Birhor,BIR,SouthAsia,SAS,India,India,No,"Yes (GA000877, GA000892)",2.4466,0.282315,,,,
GA000891,M,Birhor,BIR,SouthAsia,SAS,India,India,No,,2.28893,0.345526,,,,
GA000892,M,Birhor,BIR,SouthAsia,SAS,India,India,No,,2.36835,0.24858,,,,
GA000893,F,BisonHornMaria,BHM,SouthAsia,SAS,India,India,No,,1.98239,0.387429,,,,
GA000896,F,BisonHornMaria,BHM,SouthAsia,SAS,India,India,No,,2.21049,0.430043,,,,
GA000897,M,BisonHornMaria,BHM,SouthAsia,SAS,India,India,No,,2.31631,0.348011,,,,
GA000899,F,BisonHornMaria,BHM,SouthAsia,SAS,India,India,No,,2.36346,0.358665,,,,
GA000900,M,BisonHornMaria,BHM,SouthAsia,SAS,India,India,No,,2.11776,0.40483,,,,
GA000901,M,HillKorwa,HKR,SouthAsia,SAS,India,India,No,,2.64085,0.307173,,,,
GA000902,F,HillKorwa,HKR,SouthAsia,SAS,India,India,No,,2.0714,0.367543,,,,
GA000903,M,HillKorwa,HKR,SouthAsia,SAS,India,India,No,,2.23885,0.364347,,,,
GA000904,F,HillKorwa,HKR,SouthAsia,SAS,India,India,No,,2.30673,0.339489,,,,
GA000905,F,HillKorwa,HKR,SouthAsia,SAS,India,India,No,,2.40473,0.336648,,,,
GA000906,F,HillKorwa,HKR,SouthAsia,SAS,India,India,No,,2.28638,0.290128,,,,
GA000907,M,HillKorwa,HKR,SouthAsia,SAS,India,India,No,,2.41608,0.457386,,,,
GA000908,M,HillKorwa,HKR,SouthAsia,SAS,India,India,No,,2.24394,0.256392,,,,
GA000909,F,HillKorwa,HKR,SouthAsia,SAS,India,India,No,,2.35348,0.392756,,,,
GA000910,M,HillKorwa,HKR,SouthAsia,SAS,India,India,No,,2.25939,0.504972,,,,
GA000912,F,Kamar,KAM,SouthAsia,SAS,India,India,No,,2.21146,0.349077,,,,
GA000913,M,Kamar,KAM,SouthAsia,SAS,India,India,No,Yes (GA000914),2.11248,0.384233,,,,
GA000914,M,Kamar,KAM,SouthAsia,SAS,India,India,No,,1.99433,0.510298,,,,
GA000915,M,Kamar,KAM,SouthAsia,SAS,India,India,No,,2.25587,0.273082,,,,
GA000916,M,Kamar,KAM,SouthAsia,SAS,India,India,No,,2.32199,0.443892,,,,
GA000917,F,Kamar,KAM,SouthAsia,SAS,India,India,No,,2.40591,0.433949,,,,
GA000918,F,Kamar,KAM,SouthAsia,SAS,India,India,No,,2.1919,0.375355,,,,
GA000919,M,Kamar,KAM,SouthAsia,SAS,India,India,No,,2.55047,0.389205,,,,
GA000920,F,Kamar,KAM,SouthAsia,SAS,India,India,No,,2.37891,0.378196,,,,
GA000921,M,Kamar,KAM,SouthAsia,SAS,India,India,No,,2.47242,0.228693,,,,
GA000922,U,Kamar,KAM,SouthAsia,SAS,India,India,No,,2.46498,0.410866,,,,
GA000923,F,Lodha,LOD,SouthAsia,SAS,India,India,No,,2.26565,0.393111,,,,
GA000924,M,Lodha,LOD,SouthAsia,SAS,India,India,No,,2.26937,0.279474,,,,
GA000925,M,Lodha,LOD,SouthAsia,SAS,India,India,No,,2.34624,0.275923,,,,
GA000926,F,Lodha,LOD,SouthAsia,SAS,India,India,No,,2.10661,0.333097,,,,
GA000927,F,Lodha,LOD,SouthAsia,SAS,India,India,No,,2.30888,0.42294,,,,
GA000928,F,Lodha,LOD,SouthAsia,SAS,India,India,No,,2.2946,0.381392,,,,
GA000929,M,Lodha,LOD,SouthAsia,SAS,India,India,No,,2.35055,0.276634,,,,
GA000930,M,Lodha,LOD,SouthAsia,SAS,India,India,No,,2.30301,0.344815,,,,
